A,20,SPECTRUMCO,False," Ł281,000,000"
B,20,ORANGE,False," Ł515,600,000"
C,20,EPSILON,False," Ł152,100,000"
D,20,TELEFONICA,False," Ł154,000,000"
E,20,3GUK,False," Ł151,000,000"
A,21,NTL MOBILE,False," Ł295,100,000"
B,21,VODAFONE,False," Ł541,400,000"
C,21,EPSILON,False," Ł152,100,000"
D,21,TELEFONICA,False," Ł154,000,000"
E,21,WORLDCOM,False," Ł158,900,000"
A,22,SPECTRUMCO,False," Ł309,900,000"
B,22,VODAFONE,False," Ł541,400,000"
C,22,TIW,False," Ł166,900,000"
D,22,TELEFONICA,False," Ł154,000,000"
E,22,ORANGE,False," Ł173,500,000"
A,23,SPECTRUMCO,False," Ł309,900,000"
B,23,VODAFONE,False," Ł541,400,000"
C,23,TIW,False," Ł166,900,000"
D,23,NTL MOBILE,False," Ł169,000,000"
E,23,ORANGE,False," Ł173,500,000"
A,24,SPECTRUMCO,False," Ł309,900,000"
B,24,VODAFONE,False," Ł541,400,000"
C,24,EPSILON,False," Ł177,500,000"
D,24,NTL MOBILE,False," Ł169,000,000"
E,24,ORANGE,False," Ł173,500,000"
A,25,SPECTRUMCO,False," Ł309,900,000"
B,25,VODAFONE,False," Ł541,400,000"
C,25,EPSILON,False," Ł177,500,000"
D,25,TELEFONICA,False," Ł178,200,000"
E,25,ORANGE,False," Ł173,500,000"
A,26,NTL MOBILE,False," Ł325,400,000"
B,26,VODAFONE,False," Ł541,400,000"
C,26,3GUK,False," Ł191,000,000"
D,26,TELEFONICA,False," Ł178,200,000"
E,26,TIW,False," Ł186,400,000"
A,27,SPECTRUMCO,False," Ł341,700,000"
B,27,VODAFONE,False," Ł541,400,000"
C,27,3GUK,False," Ł191,000,000"
D,27,EPSILON,False," Ł187,400,000"
E,27,ORANGE,False," Ł201,900,000"
A,28,NTL MOBILE,False," Ł358,800,000"
B,28,VODAFONE,False," Ł541,400,000"
C,28,3GUK,False," Ł191,000,000"
D,28,TELEFONICA,False," Ł197,000,000"
E,28,ORANGE,False," Ł201,900,000"
B,29,VODAFONE,False," Ł541,400,000"
C,29,EPSILON,False," Ł200,800,000"
D,29,TELEFONICA,False," Ł197,000,000"
E,29,ORANGE,False," Ł201,900,000"
A,29,SPECTRUMCO,True," Ł376,800,000"
A,29,TIW,True," Ł376,800,000"
A,30,SPECTRUMCO,False," Ł395,700,000"
B,30,VODAFONE,False," Ł541,400,000"
C,30,EPSILON,False," Ł200,800,000"
E,30,ORANGE,False," Ł201,900,000"
D,30,3GUK,True," Ł206,900,000"
D,30,BT3G,True," Ł206,900,000"
D,30,CRESCENT,True," Ł206,900,000"
D,30,NTL MOBILE,True," Ł206,900,000"
D,30,ONE2ONE,True," Ł206,900,000"
D,30,ONE.TEL,True," Ł206,900,000"
D,30,WORLDCOM,True," Ł206,900,000"
A,31,3GUK,False," Ł421,000,000"
B,31,VODAFONE,False," Ł541,400,000"
C,31,TELEFONICA,False," Ł211,000,000"
D,31,ONE.TEL,False," Ł206,900,000"
E,31,NTL MOBILE,True," Ł212,000,000"
E,31,TIW,True," Ł212,000,000"
A,32,SPECTRUMCO,False," Ł442,100,000"
B,32,VODAFONE,False," Ł541,400,000"
C,32,TIW,False," Ł228,300,000"
E,32,ORANGE,False," Ł222,600,000"
D,32,BT3G,True," Ł217,300,000"
D,32,CRESCENT,True," Ł217,300,000"
D,32,ONE2ONE,True," Ł217,300,000"
D,32,WORLDCOM,True," Ł217,300,000"
A,33,SPECTRUMCO,False," Ł442,100,000"
B,33,VODAFONE,False," Ł541,400,000"
C,33,TIW,False," Ł228,300,000"
D,33,TELEFONICA,False," Ł229,300,000"
E,33,NTL MOBILE,False," Ł233,800,000"
A,34,SPECTRUMCO,False," Ł442,100,000"
B,34,VODAFONE,False," Ł541,400,000"
D,34,TELEFONICA,False," Ł229,300,000"
E,34,ORANGE,False," Ł246,200,000"
C,34,3GUK,True," Ł240,000,000"
C,34,EPSILON,True," Ł240,000,000"
A,35,SPECTRUMCO,False," Ł442,100,000"
B,35,VODAFONE,False," Ł541,400,000"
C,35,EPSILON,False," Ł252,000,000"
E,35,ORANGE,False," Ł246,200,000"
D,35,BT3G,True," Ł240,800,000"
D,35,CRESCENT,True," Ł240,800,000"
D,35,NTL MOBILE,True," Ł240,800,000"
D,35,ONE2ONE,True," Ł240,800,000"
D,35,ONE.TEL,True," Ł240,800,000"
D,35,TIW,True," Ł240,800,000"
D,35,WORLDCOM,True," Ł240,800,000"
A,36,SPECTRUMCO,False," Ł442,100,000"
B,36,VODAFONE,False," Ł541,400,000"
C,36,EPSILON,False," Ł252,000,000"
D,36,TELEFONICA,False," Ł254,100,000"
E,36,TIW,False," Ł258,600,000"
A,37,NTL MOBILE,False," Ł464,300,000"
B,37,ORANGE,False," Ł569,100,000"
D,37,TELEFONICA,False," Ł254,100,000"
E,37,TIW,False," Ł258,600,000"
C,37,3GUK,True," Ł264,600,000"
C,37,BT3G,True," Ł264,600,000"
C,37,CRESCENT,True," Ł264,600,000"
C,37,ONE2ONE,True," Ł264,600,000"
C,37,ONE.TEL,True," Ł264,600,000"
C,37,WORLDCOM,True," Ł264,600,000"
A,38,SPECTRUMCO,False," Ł487,600,000"
B,38,VODAFONE,False," Ł597,600,000"
C,38,ONE2ONE,False," Ł264,600,000"
E,38,EPSILON,False," Ł271,600,000"
D,38,3GUK,True," Ł266,900,000"
D,38,BT3G,True," Ł266,900,000"
D,38,CRESCENT,True," Ł266,900,000"
D,38,ONE.TEL,True," Ł266,900,000"
D,38,WORLDCOM,True," Ł266,900,000"
A,39,SPECTRUMCO,False," Ł487,600,000"
B,39,ORANGE,False," Ł636,900,000"
C,39,TIW,False," Ł280,300,000"
E,39,EPSILON,False," Ł271,600,000"
D,39,NTL MOBILE,True," Ł280,300,000"
D,39,TELEFONICA,True," Ł280,300,000"
A,40,NTL MOBILE,False," Ł512,000,000"
B,40,VODAFONE,False," Ł668,800,000"
C,40,TIW,False," Ł280,300,000"
D,40,TELEFONICA,False," Ł280,300,000"
E,40,3GUK,True," Ł285,200,000"
E,40,BT3G,True," Ł285,200,000"
E,40,CRESCENT,True," Ł285,200,000"
E,40,ONE2ONE,True," Ł285,200,000"
E,40,ONE.TEL,True," Ł285,200,000"
E,40,WORLDCOM,True," Ł285,200,000"
A,41,SPECTRUMCO,False," Ł537,600,000"
B,41,ORANGE,False," Ł728,300,000"
D,41,WORLDCOM,False," Ł300,000,000"
E,41,3GUK,False," Ł310,000,000"
C,41,CRESCENT,True," Ł294,400,000"
C,41,ONE.TEL,True," Ł294,400,000"
A,42,SPECTRUMCO,False," Ł537,600,000"
B,42,VODAFONE,False," Ł764,800,000"
C,42,TIW,False," Ł310,000,000"
E,42,3GUK,False," Ł310,000,000"
D,42,NTL MOBILE,True," Ł315,000,000"
D,42,TELEFONICA,True," Ł315,000,000"
A,43,SPECTRUMCO,False," Ł537,600,000"
B,43,VODAFONE,False," Ł764,800,000"
C,43,EPSILON,False," Ł325,800,000"
D,43,TELEFONICA,False," Ł330,800,000"
E,43,ORANGE,False," Ł334,000,000"
A,44,NTL MOBILE,False," Ł592,200,000"
B,44,VODAFONE,False," Ł764,800,000"
C,44,TIW,False," Ł347,400,000"
D,44,TELEFONICA,False," Ł330,800,000"
E,44,ORANGE,False," Ł334,000,000"
A,45,SPECTRUMCO,False," Ł621,900,000"
B,45,VODAFONE,False," Ł764,800,000"
C,45,TIW,False," Ł347,400,000"
D,45,WORLDCOM,False," Ł360,000,000"
E,45,ORANGE,False," Ł334,000,000"
A,46,SPECTRUMCO,False," Ł621,900,000"
B,46,VODAFONE,False," Ł764,800,000"
C,46,NTL MOBILE,False," Ł378,000,000"
D,46,WORLDCOM,False," Ł360,000,000"
E,46,TELEFONICA,False," Ł364,800,000"
A,47,SPECTRUMCO,False," Ł621,900,000"
B,47,VODAFONE,False," Ł764,800,000"
C,47,NTL MOBILE,False," Ł378,000,000"
D,47,TIW,False," Ł383,100,000"
E,47,ORANGE,False," Ł394,200,000"
A,48,SPECTRUMCO,False," Ł621,900,000"
B,48,VODAFONE,False," Ł764,800,000"
C,48,TELEFONICA,False," Ł402,300,000"
D,48,EPSILON,False," Ł402,400,000"
E,48,ORANGE,False," Ł394,200,000"
A,49,NTL MOBILE,False," Ł653,000,000"
B,49,VODAFONE,False," Ł764,800,000"
C,49,TELEFONICA,False," Ł402,300,000"
D,49,EPSILON,False," Ł402,400,000"
E,49,3GUK,True," Ł414,000,000"
E,49,BT3G,True," Ł414,000,000"
E,49,CRESCENT,True," Ł414,000,000"
E,49,ONE2ONE,True," Ł414,000,000"
E,49,ONE.TEL,True," Ł414,000,000"
E,49,TIW,True," Ł414,000,000"
E,49,WORLDCOM,True," Ł414,000,000"
A,50,SPECTRUMCO,False," Ł685,700,000"
B,50,VODAFONE,False," Ł764,800,000"
C,50,WORLDCOM,False," Ł425,000,000"
D,50,EPSILON,False," Ł402,400,000"
E,50,ORANGE,False," Ł434,700,000"
A,51,NTL MOBILE,False," Ł720,000,000"
B,51,VODAFONE,False," Ł764,800,000"
C,51,WORLDCOM,False," Ł425,000,000"
D,51,TELEFONICA,False," Ł446,300,000"
E,51,3GUK,False," Ł461,000,000"
A,52,SPECTRUMCO,False," Ł756,000,000"
B,52,ORANGE,False," Ł805,500,000"
C,52,EPSILON,False," Ł446,800,000"
D,52,TELEFONICA,False," Ł446,300,000"
E,52,TIW,False," Ł492,200,000"
A,53,SPECTRUMCO,False," Ł756,000,000"
B,53,VODAFONE,False," Ł845,800,000"
C,53,NTL MOBILE,False," Ł492,200,000"
D,53,WORLDCOM,False," Ł488,200,000"
E,53,TIW,False," Ł492,200,000"
A,54,SPECTRUMCO,False," Ł756,000,000"
B,54,VODAFONE,False," Ł845,800,000"
C,54,EPSILON,False," Ł517,000,000"
D,54,TELEFONICA,False," Ł516,900,000"
E,54,ORANGE,False," Ł536,500,000"
A,55,NTL MOBILE,False," Ł794,100,000"
B,55,VODAFONE,False," Ł845,800,000"
C,55,EPSILON,False," Ł517,000,000"
D,55,WORLDCOM,False," Ł553,700,000"
E,55,ORANGE,False," Ł536,500,000"
A,56,SPECTRUMCO,False," Ł833,900,000"
B,56,VODAFONE,False," Ł845,800,000"
C,56,TELEFONICA,False," Ł563,400,000"
D,56,WORLDCOM,False," Ł553,700,000"
E,56,ORANGE,False," Ł536,500,000"
A,57,NTL MOBILE,False," Ł875,600,000"
B,57,VODAFONE,False," Ł845,800,000"
C,57,TELEFONICA,False," Ł563,400,000"
D,57,WORLDCOM,False," Ł553,700,000"
E,57,EPSILON,False," Ł563,900,000"
A,58,NTL MOBILE,False," Ł875,600,000"
B,58,BT3G,False," Ł888,100,000"
C,58,TELEFONICA,False," Ł563,400,000"
D,58,TIW,False," Ł591,600,000"
E,58,ORANGE,False," Ł606,900,000"
A,59,NTL MOBILE,False," Ł875,600,000"
B,59,VODAFONE,False," Ł932,600,000"
C,59,WORLDCOM,False," Ł592,100,000"
D,59,TIW,False," Ł591,600,000"
E,59,ORANGE,False," Ł606,900,000"
A,60,SPECTRUMCO,False," Ł919,400,000"
B,60,VODAFONE,False," Ł932,600,000"
C,60,TELEFONICA,False," Ł637,300,000"
E,60,ORANGE,False," Ł606,900,000"
D,60,3GUK,True," Ł621,200,000"
D,60,BT3G,True," Ł621,200,000"
D,60,CRESCENT,True," Ł621,200,000"
D,60,ONE2ONE,True," Ł621,200,000"
D,60,ONE.TEL,True," Ł621,200,000"
A,61,NTL MOBILE,False," Ł965,500,000"
B,61,VODAFONE,False," Ł932,600,000"
C,61,TELEFONICA,False," Ł637,300,000"
D,61,3GUK,False," Ł655,000,000"
