,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
18,,,,,,,,,C,,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,,,,"Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000",,,,,,,,
19,,,,,,,,,C,,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,,,,"Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000",,,,,,,,
20,,,,,,,,,C,,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,WORLDCOM,,,,"Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000","Ł90,200,000",,,,,,,,
21,,,,,,,,,D,,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,,,,"Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000",,,,,,,,
22,,,,,,,,,D,,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,,,,"Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000",,,,,,,,
23,,,,,,,,,D,,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,CRESCENT,,,,"Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000",,,,,,,,
24,,,,,,,,,E,,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,,,,"Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000",,,,,,,,
25,,,,,,,,,E,,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,,,,"Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000",,,,,,,,
26,,,,,,,,,E,,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,EPSILON,,,,"Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000","Ł89,300,000",,,,,,,,
27,,,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,Bidders who have been excluded,,,,NONE,NONE,,,,,,,,,,,,
